text,label
Congratulations! You've won a million dollars in our lottery!,1
Please verify your account details by clicking this link,1
"Buy Viagra at 90% discount, limited time offer!",1
"URGENT: Your inheritance of $5,000,000 is waiting for transfer",1
Your account has been suspended. Verify NOW!,1
FREE iPhone 15 Pro for the first 10 customers!!!,1
Nigerian prince needs your help to transfer $10 million,1
"Hello, I hope this email finds you well. Here are the meeting notes from yesterday.",0
Thank you for your purchase. Your order #12345 has been shipped.,0
The quarterly report is attached for your review.,0
Reminder: Team meeting tomorrow at 10 AM in Conference Room B.,0
Your invoice is attached. Payment is due by the end of the month.,0
Please find attached the presentation for tomorrow's client meeting.,0
I've updated the project timeline. Let me know if you have questions.,0
Could you please review the attached document before Friday?,0
